productId_type,productId_value,conditionDisplayName,conditionId,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,sellingState,endHour,endWeekday
1,159,5,4,18,1,0,0,0,1,0,0,0,9,47,100.0,0,0,19,6
1,159,5,4,18,1,0,0,0,0,2,0,0,5,4360,99.7,1,1,19,6
1,159,5,4,18,1,0,0,0,0,2,0,0,5,4340,99.7,1,1,19,6
1,159,5,4,18,1,0,0,0,0,2,0,0,5,4340,99.7,1,1,19,6
1,159,5,4,18,1,0,0,0,0,2,0,1,5,4340,99.7,1,1,19,6
1,159,5,4,18,1,0,0,0,0,2,0,0,5,4340,99.7,1,1,19,6
1,159,5,4,18,1,0,0,0,0,2,0,1,5,4354,99.7,1,1,19,6
1,159,5,4,18,1,0,0,0,0,2,0,0,5,4340,99.7,1,1,19,6
1,159,5,4,18,1,0,0,0,0,2,0,0,5,4340,99.7,1,1,19,6
1,159,5,4,18,1,0,0,0,0,2,0,0,5,4340,99.7,1,1,19,6
1,159,5,4,18,1,0,0,0,0,2,0,0,5,4359,99.7,1,1,19,6
1,159,0,5,18,1,0,0,0,0,2,0,0,9,35,100.0,0,0,19,6
1,159,5,4,18,0,0,0,0,1,3,0,1,7,316,99.7,0,0,19,6
0,154,0,5,18,0,1,0,0,0,0,0,0,9,42,100.0,0,1,19,6
0,132,4,3,18,1,0,1,0,1,3,0,1,3,673,100.0,0,1,19,6
0,30,5,4,18,0,0,0,0,1,2,0,0,9,29,100.0,0,1,19,6
1,159,5,4,18,1,0,1,0,1,4,1,0,9,21,100.0,0,0,19,6
0,132,5,4,18,1,0,0,0,0,3,0,0,0,81,100.0,0,1,19,6
0,9,5,4,18,0,0,0,0,1,0,0,0,2,0,0.0,0,0,19,6
0,83,2,0,18,0,0,0,0,1,3,0,0,0,50,90.9,0,0,19,6
0,38,4,3,18,1,0,0,0,1,3,0,1,3,673,100.0,0,1,19,6
0,38,0,5,18,1,0,1,0,1,3,0,1,5,4965,99.9,1,1,19,6
0,37,2,0,18,1,0,1,0,0,4,1,1,7,101,100.0,0,0,19,6
0,9,4,3,18,1,0,1,0,1,3,0,1,3,673,100.0,0,0,19,6
0,25,5,4,18,1,0,1,0,1,2,0,1,5,1468,100.0,0,0,19,6
1,159,5,4,18,0,0,0,0,0,3,0,0,7,113,100.0,0,0,19,6
1,159,5,4,18,0,0,0,7,1,0,0,1,4,53925,99.0,0,0,19,6
1,159,2,0,18,0,0,0,0,1,4,1,0,0,75,100.0,0,0,19,6
1,159,5,4,18,1,0,0,5,1,4,1,1,7,499,99.4,1,0,19,6
0,4,5,4,18,0,1,0,0,1,0,0,0,2,7,100.0,0,0,19,6
1,159,0,5,18,1,0,0,0,0,3,0,1,5,1222,99.2,1,1,19,6
1,159,5,4,18,1,0,1,0,1,0,0,0,3,719,100.0,0,1,19,6
0,26,5,4,18,1,0,1,0,1,2,0,1,5,2071,99.3,0,0,19,6
1,159,5,4,18,1,0,0,0,0,2,0,0,7,268,100.0,0,1,19,6
1,159,5,4,18,1,0,0,0,1,3,0,1,3,735,99.7,1,0,19,6
1,159,5,4,18,1,0,1,0,1,3,0,0,7,216,100.0,0,0,19,6
1,159,5,4,18,0,0,0,0,1,0,0,0,9,36,100.0,0,0,19,6
0,53,5,4,18,0,0,0,0,1,0,0,0,9,49,0.0,0,0,19,6
0,37,2,0,18,0,0,0,0,0,2,0,0,7,161,100.0,0,0,19,6
0,55,5,4,18,0,0,0,0,1,0,0,0,9,11,0.0,0,0,19,6
1,159,5,4,18,0,0,0,0,1,0,0,0,1,5799,100.0,0,0,19,6
1,159,5,4,18,0,0,0,0,1,4,1,1,3,795,99.5,0,0,19,6
0,148,5,4,18,1,0,1,0,0,0,0,0,2,0,0.0,0,0,19,6
0,50,5,4,18,0,0,0,0,1,0,0,0,7,186,100.0,0,0,19,6
0,90,5,4,18,1,0,1,0,1,4,1,0,2,1,100.0,0,0,19,6
1,159,5,4,18,0,0,0,0,1,4,1,0,7,217,100.0,0,0,19,6
0,153,5,4,18,0,0,0,0,0,4,1,1,0,94,100.0,0,0,19,6
1,159,5,4,18,1,0,1,0,1,4,1,1,10,22848,99.9,1,0,18,6
1,159,2,0,18,0,1,0,0,1,4,1,1,3,963,100.0,0,1,18,6
1,159,2,0,18,1,0,0,0,1,2,0,1,3,763,100.0,0,1,18,6
0,146,5,4,18,0,0,0,0,0,2,0,0,9,37,100.0,0,0,18,6
1,159,5,4,18,0,0,0,0,1,0,0,0,9,23,100.0,0,0,18,6
1,159,5,4,18,0,1,0,0,1,0,0,0,2,6,100.0,0,1,18,6
0,37,5,4,18,1,0,1,0,1,0,0,0,7,496,100.0,0,1,18,6
1,159,5,4,18,1,0,0,0,1,3,0,1,1,7390,99.3,1,0,18,6
0,35,5,4,18,0,0,0,0,0,0,0,1,7,481,100.0,0,0,18,6
0,20,5,4,18,1,0,0,0,1,2,0,1,5,2594,100.0,1,0,18,6
1,159,4,3,18,1,0,1,0,1,3,0,1,7,377,99.7,0,0,18,6
0,37,1,2,18,1,0,1,0,1,4,1,0,7,142,99.0,0,0,18,6
0,19,0,5,18,0,1,0,0,1,0,0,0,9,27,100.0,0,0,18,6
1,159,5,4,18,1,0,0,0,0,3,0,1,3,739,100.0,0,1,18,6
1,159,5,4,18,1,0,0,0,0,3,0,1,5,1553,98.1,1,1,18,6
0,34,5,4,18,0,0,0,0,1,4,1,0,7,354,100.0,0,0,18,6
1,159,5,4,18,1,0,1,0,1,2,0,0,7,117,100.0,0,0,18,6
1,159,2,0,18,1,0,0,0,1,0,0,0,7,221,100.0,1,0,18,6
1,159,4,3,18,1,0,1,0,1,4,1,1,5,1321,99.2,0,0,18,6
1,159,5,4,18,0,0,0,0,1,4,1,0,0,88,100.0,0,0,18,6
0,130,5,4,18,0,0,0,0,0,0,0,0,7,183,100.0,0,0,18,6
1,159,0,5,18,0,0,0,0,1,0,0,0,0,92,97.8,1,0,18,6
1,159,5,4,18,0,0,0,0,1,3,0,0,0,71,100.0,0,0,18,6
1,159,5,4,18,0,0,0,0,0,4,1,1,8,37581,99.4,1,0,18,6
1,159,5,4,18,1,0,1,0,1,4,1,1,5,2640,100.0,0,1,18,6
1,159,5,4,18,0,0,0,0,0,2,0,1,10,11160,100.0,1,0,18,6
1,159,5,4,18,1,0,1,0,1,0,0,1,7,201,100.0,0,1,18,6
1,159,2,0,18,1,0,0,0,1,2,0,1,3,763,100.0,0,1,18,6
1,159,5,4,18,1,0,0,0,1,4,1,1,7,420,100.0,1,0,18,6
1,159,5,4,18,1,0,0,0,0,3,0,1,3,740,100.0,0,1,18,6
0,28,5,4,18,0,1,0,0,1,0,0,0,7,133,100.0,0,1,18,6
1,159,5,4,18,1,0,1,0,1,0,0,0,2,0,0.0,0,0,18,6
1,159,5,4,18,0,0,0,0,0,2,0,0,0,71,100.0,0,0,18,6
0,13,0,5,18,1,0,1,0,1,0,0,0,0,90,100.0,0,0,18,6
0,123,5,4,18,0,0,0,0,1,0,0,0,9,14,0.0,0,0,18,6
1,159,5,4,18,1,0,1,0,1,4,1,1,3,734,100.0,0,0,18,6
1,159,0,5,18,0,0,0,0,1,0,0,0,7,192,100.0,0,0,18,6
1,159,4,3,18,0,0,0,0,1,0,0,0,0,50,90.9,0,0,18,6
0,32,5,4,18,1,0,0,0,1,3,0,1,5,2082,100.0,1,0,18,6
1,159,0,5,18,0,1,0,0,0,2,0,0,0,59,100.0,0,0,18,6
0,158,4,3,18,0,1,0,0,0,4,1,0,9,34,100.0,0,1,18,6
1,159,5,4,18,1,0,0,0,1,4,1,1,7,307,100.0,1,0,18,6
0,136,5,4,18,1,0,0,0,0,0,0,0,2,3,100.0,0,1,18,6
0,12,5,4,18,1,0,1,5,1,0,0,1,10,13785,99.6,0,1,18,6
1,159,0,5,18,0,1,0,0,1,0,0,0,9,44,95.8,0,1,18,6
1,159,5,4,18,0,0,0,0,0,4,1,1,8,37577,99.4,1,0,18,6
0,70,5,4,18,0,0,0,0,0,2,0,0,3,672,100.0,0,1,17,6
1,159,5,4,18,0,0,0,0,1,3,0,1,5,3376,100.0,0,1,17,6
0,25,5,4,18,0,0,0,0,0,4,1,0,7,302,100.0,0,0,17,6
1,159,0,5,18,0,0,0,0,1,0,0,0,2,0,0.0,0,1,17,6
0,17,5,4,18,1,0,0,0,1,3,0,0,7,291,100.0,0,0,17,6
1,159,5,4,18,1,0,0,0,0,3,0,1,3,740,100.0,0,1,17,6
1,159,0,5,18,0,0,0,0,1,0,0,0,7,294,100.0,0,0,17,6
0,11,0,5,18,0,1,0,0,1,2,0,0,2,8,100.0,0,0,17,6
1,159,5,4,18,1,0,1,0,1,3,0,0,7,368,100.0,0,1,17,6
1,159,5,4,18,1,0,1,0,1,0,0,0,7,103,100.0,0,0,17,6
0,125,0,5,18,1,0,0,0,1,4,1,0,3,834,100.0,1,0,17,6
1,159,5,4,18,0,0,0,0,0,4,1,1,8,37578,99.4,1,0,17,6
0,25,5,4,18,0,0,0,0,1,0,0,0,0,74,100.0,0,0,17,6
0,39,5,4,18,0,0,0,0,1,0,0,0,0,74,100.0,0,0,17,6
0,151,0,5,18,1,0,0,0,1,2,0,0,0,59,94.3,0,1,17,6
0,27,5,4,18,1,0,1,0,0,2,0,0,7,264,99.1,0,1,17,6
0,125,0,5,18,1,0,0,0,1,2,0,0,2,7,100.0,0,1,17,6
1,159,5,4,18,0,0,0,0,0,4,1,1,5,1191,99.6,0,0,17,6
1,159,5,4,18,1,0,0,0,0,2,0,0,3,699,100.0,0,0,17,6
1,159,5,4,18,1,0,0,0,1,3,0,1,5,2120,100.0,1,1,17,6
0,158,5,4,18,1,0,1,0,1,3,0,1,7,250,100.0,0,1,17,6
1,159,5,4,18,1,0,0,0,1,3,0,1,5,2120,100.0,1,0,17,6
0,70,5,4,18,1,0,0,0,1,2,0,0,7,264,99.3,1,0,17,6
1,159,5,4,18,1,0,0,0,0,3,0,1,3,869,98.9,0,1,17,6
0,20,5,4,18,1,0,0,0,1,3,0,1,5,2594,100.0,1,1,17,6
0,38,5,4,18,0,0,0,0,0,0,0,0,2,0,0.0,0,1,17,6
1,159,5,4,18,0,1,0,0,1,4,1,1,7,203,100.0,0,1,17,6
1,159,5,4,18,0,1,0,0,1,0,0,0,7,140,100.0,0,1,17,6
0,15,5,4,18,0,0,0,0,1,0,0,0,3,694,100.0,0,0,17,6
1,159,2,0,18,0,1,0,0,1,0,0,0,7,140,100.0,0,1,17,6
1,159,5,4,18,0,1,0,0,1,0,0,0,7,140,100.0,0,1,17,6
1,159,5,4,18,0,0,0,0,0,4,1,1,8,37576,99.4,1,0,17,6
0,35,5,4,18,1,0,1,0,1,2,0,0,0,72,100.0,0,1,16,6
0,37,2,0,18,0,0,0,0,1,2,0,0,7,188,88.9,0,0,16,6
0,37,2,0,18,0,0,0,0,1,0,0,0,9,25,100.0,0,1,16,6
0,79,5,4,18,1,0,0,0,1,2,0,0,2,7,100.0,0,1,16,6
